data;Taxa (% a.d);
26/05/2021;0.009315068;
27/05/2021;0.009315068;
28/05/2021;0.009315068;
31/05/2021;0.009315068;
01/06/2021;0.009315068;
02/06/2021;0.009315068;
04/06/2021;0.009315068;
07/06/2021;0.009315068;
08/06/2021;0.009315068;
09/06/2021;0.009315068;
10/06/2021;0.009315068;
11/06/2021;0.009315068;
14/06/2021;0.009315068;
15/06/2021;0.009315068;
16/06/2021;0.009315068;
17/06/2021;0.011369863;
18/06/2021;0.011369863;
21/06/2021;0.011369863;
22/06/2021;0.011369863;
23/06/2021;0.011369863;
24/06/2021;0.011369863;
25/06/2021;0.011369863;
28/06/2021;0.011369863;
29/06/2021;0.011369863;
30/06/2021;0.011369863;
01/07/2021;0.011369863;
02/07/2021;0.011369863;
05/07/2021;0.011369863;
06/07/2021;0.011369863;
07/07/2021;0.011369863;
08/07/2021;0.011369863;
12/07/2021;0.011369863;
13/07/2021;0.011369863;
14/07/2021;0.011369863;
15/07/2021;0.011369863;
16/07/2021;0.011369863;
19/07/2021;0.011369863;
20/07/2021;0.011369863;
21/07/2021;0.011369863;
22/07/2021;0.011369863;
23/07/2021;0.011369863;
26/07/2021;0.011369863;
27/07/2021;0.011369863;
28/07/2021;0.011369863;
29/07/2021;0.011369863;
30/07/2021;0.011369863;
02/08/2021;0.011369863;
03/08/2021;0.011369863;
04/08/2021;0.011369863;
05/08/2021;0.014109589;
06/08/2021;0.014109589;
09/08/2021;0.014109589;
10/08/2021;0.014109589;
11/08/2021;0.014109589;
12/08/2021;0.014109589;
13/08/2021;0.014109589;
16/08/2021;0.014109589;
17/08/2021;0.014109589;
18/08/2021;0.014109589;
19/08/2021;0.014109589;
20/08/2021;0.014109589;
23/08/2021;0.014109589;
24/08/2021;0.014109589;
25/08/2021;0.014109589;
26/08/2021;0.014109589;
27/08/2021;0.014109589;
30/08/2021;0.014109589;
31/08/2021;0.014109589;
01/09/2021;0.014109589;
02/09/2021;0.014109589;
03/09/2021;0.014109589;
